filename,session_root,session_date,fixation_type,cell_type,sample_index,frame_index,em_filter_nm,acquisition_time,annotation,notes,laser_damage
4_BKO0430glu10min_740nm_3038mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_100f_0008.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,8,457,29:54.4,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_60f_0008.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,8,535,13:46.5,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_40f_0008.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,8,535,18:21.4,colony_deep,,False
4_BKO0430glu10min_740nm_3038mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_100f_0009.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,9,457,30:51.7,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_60f_0009.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,9,535,14:21.4,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_40f_0009.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,9,535,18:45.2,colony_deep,,False
13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,live,KPCWT,13,0,457,36:09.0,colony_deep,,False
13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,live,KPCWT,13,0,535,50:43.9,colony_deep,,False
13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,live,KPCWT,13,1,457,37:17.0,colony_deep,,False
13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,live,KPCWT,13,1,535,51:51.8,colony_deep,,False
13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,live,KPCWT,13,2,457,38:24.8,colony_deep,,False
13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,live,KPCWT,13,2,535,52:59.4,colony_deep,,False
13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,live,KPCWT,13,3,457,39:32.5,colony_deep,,False
